NOM,LIEU,MAIL
Locanautic,Propriano,locanautic@locanautic.com
Locamarine Propriano,Propriano,locamarine.ce@gmail.com
Loca Valincu,Propriano,locavalincu@gmail.com
Centre de Plongee Castille Calvi,Calvi,plongee.castille@wanadoo.fr
Corsica Marittima Sagone,Sagone,contact@corsicamarittima-sagone.com
V-Boat Annecy,Annecy,contact@v-boat.fr
Aventures Nautiques Annecy,Annecy,contactlab74@gmail.com
Pro Yachting,Thonon-les-Bains,leman.location@proyachting.net
Compagnie des Bateaux du Lac Leman,Yvoire,info@bateaux-leman.com
Sud Escapades,Savines-le-Lac,location.sudescapades@gmail.com
La BD Pirates,Prunières,labdpirates@gmail.com
Euroyachts,Bonifacio,fabian@euroyachts.fr
CDS Boat,Porto-Vecchio,contact@cdsboat.com
Cappai Jet,Ajaccio,cappaijet@gmail.com
Nautic Evasion Cargèse,Cargese,nauticevasion@orange.fr
Marinaloc,Propriano,info@marinaloc.fr
Aqualoisirs Corsica,Belvédère-Campomoro,laurent.arneaud@gmail.com
Jet Evasion Saint Florent,Saint-Florent,contact@stflo-jetski.com
Dominique Plaisance,Saint-Florent,dominiqueplaisance@wanadoo.fr
Cap Corse Location,Macinaggio,capcorselocation@outlook.com
Multi Services Plaisance,Porto-Vecchio,multiservicesplaisance@wanadoo.fr
Corsil,Sainte-Lucie-de-Porto-Vecchio,contact@corsil.com
Marine Voile Location,Solenzara,marinevoilelocation@gmail.com
Corse Nautic Service,Sari-Solenzara,info@corsenauticservice.com
Nico Location Bateaux,Aleria,galerialocationbateau@gmail.com
Botti Racing,Porto-Vecchio,bottiracing2a@gmail.com
Tra Mare e Monti,Calvi,red.calvi@wanadoo.fr
Nauticaloc,Ajaccio,sas.nauticaloc@yahoo.com
JPS Aventure,Appietto,contact@jps-aventure.com
Piantarella Nautic,Bonifacio,piantarella-nautic@wanadoo.fr
Corsica Yacht Charter,Ajaccio,contact@corsica-yacht-charter.com
Ajaccio Nautic,Ajaccio,ajaccionautic@orange.fr
Club Nautique d'Aléria,Aleria,cnaleria@gmail.com
Corsica Groom Boat,Propriano,contact@c-g-b.net
Marine Sud Nautic,Porto-Vecchio,info@marinesudnautic.fr
Sun Ship Corse,Porto-Vecchio,sunship@sun-ship.net
Cap Evasion,Luri,magcapevasion@gmail.com
Location 2000,Sagone,contact.location2000@gmail.com
Ajaccio Jet,Ajaccio,contact@ajacciojet.fr
Porto Bateaux Locations,Porto,locationbateauporto@yahoo.com
Chantiers Navals de Bastia,Bastia,infos@cnbastia.com
Les Argonautes,Ruoms,argonautes@descente-ardeche.fr
Canoës Service,Vallon-Pont-d'Arc,canoeservice@ardeche-canoe.com
Evasion Canoë,Ruoms,canoeevasion@orange.fr
Action Midi Sport,Vallon-Pont-d'Arc,infos@kayak-ardeche.com
Itinéraire Passion,Vallon-Pont-d'Arc,contact@itinerairepassion.com
Canoë Dordogne,Vitrac,contact@canoe-dordogne.fr
Canoës Découverte,Vézac,reservation@canoes-decouverte.fr
Canoës Loisirs,Domme,contact@canoes-loisirs.com
Les Canoës du Bournat,Le Bugue,contact@canoe-perigord.com
Bureau des Moniteurs du Gard,Collias,contact@moniteurs-gard.com
La Cazelle,Sainte-Enimie,gerard.e.favier@wanadoo.fr
Locanoe Gorges du Tarn,Lozere,locanoe48@gmail.com
Verdon Canoe,Aiguines,verdoncanoe@gmail.com
Haute Provence Outdoor,Castellane,contact@haute-provence-outdoor.com
Action Aventure Verdon,Castellane,contact@canyoning-rafting-verdon.fr
Canoë Évasion,Fontaine-de-Vaucluse,contact@canoe-evasion.net
Canoë Kayapuna,Saint-Guilhem-le-Désert,contact@canoe-kayapuna.com
Canoë Hérault Vallée des Moulins,Saint-Guilhem-le-Désert,canoe.valleedesmoulins@gmail.com
Canoë Rapido,Saint-Guilhem-le-Désert,contact@canoe-rapido.com
Sioule Loisirs,Saint-Rémy-de-Blot,siouleloisirs@orange.fr
Tonic Aventure,Langeac,contact@tonic-aventure.fr
Escapad'O,Penne,penne.escapado@gmail.com
Nature Escapade,Port-Saint-Père,natureescapade@gmail.com
Cèze Canoës,Goudargues,info@ceze-canoes.fr
Les 7 Rives Canoë Montignac,Montignac,contact@canoe-montignac.com
Base de Loisirs Loire Forez,Saint-Just-Saint-Rambert,b2lf@wanadoo.fr
Canoë Vézère Univerland,Les Eyzies,r.vauret@univerland.eu
APA Canoë Vézère,Saint-Léon-sur-Vézère,apa@canoevezere.com
Nautic Sport,La Trinité-sur-Mer,contact@nautic-sport.com
Rioux Nautique,La Trinité-sur-Mer,contact@rioux-nautique.com
Run'O,La Trinité-sur-Mer,contact@runo.fr
No Limit Yacht,Saint-Philibert,contact@nolimityacht.fr
L'Albatros Nautisme,Concarneau,contact@lalbatros-nautisme.fr
Location Bateaux Bénodet EMI,Benodet,electro.marine@wanadoo.fr
Golfe Nautic,Saint-Gildas-de-Rhuys,golfenautic@orange.fr
Cap sur le Golfe,Vannes,contact@capsurlegolfe.fr
Crouesty Location,Crouesty,info@crouesty-location.com
Brise et Voiles,Damgan,contact@briseetvoiles.com
Vedettes du Golfe,Vannes,contact@vedettes-du-golfe.fr
Vedettes L'Angelus,Locmariaquer,vedettes-angelus@wanadoo.fr
Planète Pêche Groix,Groix,locbateaugroix@bbox.fr
Quiberon Jet,Quiberon,contact@quiberonjet.com
TCH'ILES,Sarzeau,contact@tch-iles.com
Cap Sur Groix,Groix,capsurgroix@gmail.com
Saint-Cado Plaisance,Belz,artno.lh@free.fr
Atlantic Yachting,Lorient,clement.poujade@atlantic-yachting.fr
Kernevel Nautic,Larmor-Plage,info@kernevelnautic.fr
Lokavoile,Quiberon,horizon.sailing.fr@gmail.com
Bleu Rivage,La Trinité-sur-Mer,contact@bleurivage.com
Quiberon Nautic,Quiberon,info@quiberon-nautic.com
Au fil de l'Ô Ilocap,Locmariaquer,info@ilocap.fr
Nautiloc,Arzon,info@nautiloc.fr
MB Marine,Arzon,mbmarine@orange.fr
Prestaboat,Locmiquélic,service@prestaboat.fr
Armor Nautic,Lorient,agencelorient@armor-nautic.com
Vent d'Ouest,Concarneau,vent-douest@wanadoo.fr
Marin d'Eau Douce,Paris,contact@marindeaudouce.fr
Le Site des Péniches,Paris,contact@lesitedespeniches.fr
Bateaux Hisséo,Melun,bateauxhisseo@gmail.com
Les Péniches de Paris,Paris,contact@parispeniches.fr
Location-Peniche,Paris,locationpeniche@allianceevenement.com
Ambiance Seine,Thomery,contact@ambianceseine.com
Croisières en Seine,Paris,contact@croisieres-en-seine.fr
Alliance Événement,Paris,contact@allianceevenement.com
BBQ Boat 77,Lagny-sur-Marne,bbqboat77@gmail.com
Ferté Confluences,La Ferté-sous-Jouarre,contact@ferteconfluences.fr
Les Canalous,Digoin,resa@lescanalous.com
Port de Plaisance de Joinville-le-Pont,Joinville,portdeplaisance@joinvillelepont.fr
Green River Cruises,Paris,info@greenriver-paris.fr
Vedettes du Pont Neuf,Paris,info@vedettesdupontneuf.com
Paris Événement Seine,Paris,contact@paris-evenement-seine.fr
Vedettes de Paris,Paris,info@vedettesdeparis.com
Bleu Seine,Paris,contact@bleuseine.com
Paris en Bateau,Paris,infos@parisenbateau.com
Paris Canal,Paris,infos@pariscanal.com
Bateau Mon Paris,Paris,allocapitaine@bateaumonparis.com
Seine Evénements,Paris,stephane.coulet@seine-evenements.com
Fayolle Plaisance,Nogent-sur-Marne,fayolleplaisance@orange.fr
OFF Paris Seine,Paris,event@offparisseine.com
Quais de Seine,Paris,contact@quais-de-seine.com
Pôle Estuaire Marne et Bois,Champigny-sur-Marne,accueil@pemb.fr
Carteret Yachting,Carteret,carteret.yachting@gmail.com
Grune Sec,Granville,grune.sec@wanadoo.fr
Coutainville Plaisance,Coutainville,coutainville.plaisance@wanadoo.fr
Cotentin Nautic,Saint-Vaast-la-Hougue,contact@cotentin-nautic.com
Cherbourg Plaisance,Cherbourg,contact@cherbourg-plaisance.fr
Albâtre Plaisance,Le Havre,contact@albatre-plaisance.com
Tim'Jet,Saint-Jouin-Bruneval,timtimlocation@ymail.com
Voiles et Galets d'Étretat,Etretat,contact@voilesetgalets.com
MG Nautic,Fécamp,contact@mgnautic.fr
Navigation Normande,Dieppe,dieppe@navigation-normande.fr
Surf'in Pourville,Hautot-sur-Mer,surfinpourville@gmail.com
ITAG,Le Tréport,bateauecole.itag@wanadoo.fr
Les Locations du Canal,,contact@locationscanal.fr
La Canoterie,Saint-Valery-sur-Somme,info@lacanoterie.fr
Va'a en Baie,,vaaenbaie@hotmail.fr
Club Kayak Baie des Phoques,Saint-Valery-sur-Somme,kayakbaiphoq@hotmail.com
Club Nautique Berckois,Berck,loisirsnaut@free.fr
Centre Nautique de la Canche,Etaples,cn.canche@etaples-sur-mer.fr
Voile 62,Pas-de-Calais,antoinerogers@hotmail.fr
Club Nautique de Wimereux,Wimereux,club@cnwimereux.com
Kite Avenue,Wimereux,kiteavenue@gmail.com
Association Porteloise de Glisse,Le Portel,associationporteloisedeglisse@gmail.com
Club Croisière Alidade,Dunkerque,club.croisiere.alidade@gmail.com
Nicols,Cholet,nicols@nicols.com
Le Boat,Castelnaudary,customerservice@leboat.com
Locaboat Holidays,Joigny,info@locaboat.com
France Afloat,Joigny,boats@franceafloat.com
France Passion Plaisance,Vitry-en-Charollais,contact@france-passion-plaisance.fr
Alpha Croisière,,contact@alpha-croisiere.com
CrisBoat,Saint-Julien-l'Ars,contact@crisboat.com
Cap Confluent,Lyon,contact@cap-confluent.com
Emeraude Location,Fourques-sur-Garonne,info@emeraudelocabateaux.fr
Location Pénichette,,meunier.adrien@hotmail.fr
Aquitaine Navigation,Buzet-sur-Baïse,contact@aquitaine-navigation.com
Babou Marine,Cahors,babou.marine@wanadoo.fr
Saône Plaisance,Savoyeux,info@saone-plaisance.com
H2O France,Saint-Jean-de-Losne,h2o@h2ofrance.com
Navig France,Lagarde,contact@navigfrance.com
Rivers and Canals,,riversandcanals.eu@gmail.com
Bretagne Fluviale,Sucé-sur-Erdre,bara.alain@bbox.fr
Les Canalous Alsace,Waltenheim-sur-Zorn,canalous.alsace@gmail.com
Anjou Navigation,Sablé-sur-Sarthe,contact@anjou-navigation.fr
Rivières de l'Ouest,Le Mans,rivieres-ouest@sarthetourisme.com
Rêves de Saône,Saint-Jean-de-Losne,contact@revesdesaone.fr
Chalon Balade Sur Saône,Chalon-sur-Saône,contact@chalonbaladesursaone.com
Base Nautique l'Embarcadère,Saone-et-Loire,l.embarcadere71@yahoo.fr
Bateau Vert Location,Maisod,contact@bateauvertlocation.com
Croisières du Prince Henry,Nérac,contact@croisieresduprincehenry.com
Bateaux pour la Planète,Casseneuil,bateausolaire47@gmail.com
LocaConcept,Mâcon,contact@locaconcept.fr
A-Boat,Golfe-Juan,contact@a-boat.fr
ATI Yachts,Cannes,contact@atiyachts.com
CP Yachting,Antibes,christel@cpyachting.com
Galayacht,Golfe-Juan,contact@galayacht.com
Monaco Yacht Rentals,Monaco,info@monacoyachtrentals.com
Nautibliss,Cannes,asantarelli@nautibliss-yacht.com
Location Bateaux Cannes,Cannes,contact@location-bateaux-cannes.fr
Island Boat,Alpes-Maritimes,islandboat06@gmail.com
212 Yachts,Antibes,info@212-yachts.com
LocBoat,Saint-Laurent-du-Var,contact@locboat.fr
Allied Yachting,Cannes,info@alliedyachting.com
Yacht Me Up Cannes,Cannes,fripouillecannes@gmail.com
Talamare,Sainte-Maxime,contact@talamare.com
A.E.S. Marine,Alpes-Maritimes,aes.plaisance@gmail.com
Mer Yachting Services,Golfe-Juan,contact@meryachting.com
Cannes Boats,Cannes,info@cannes-boats.fr
JB Watersports,Alpes-Maritimes,jbwatersports06@gmail.com
Dream Yachting,Cannes,contact@dream-yachting.com
Pelagia Yachting,Cannes,contact@pelagiayachting.com
Charterminute,Antibes,info@charterminute.com
Simply Boat,Mandelieu-la-Napoule,contact@simplyboat.fr
Jaupart Yachts,Villefranche-sur-Mer,contact@jaupartyachts.fr
WI Yachts,Antibes,info@windward-islands.net
Riviera Yachts,Monaco,charter@rivierayachts.com
Winner Boat,Mandelieu-la-Napoule,info@winnerboat.com
Club Nautique de la Croisette,Cannes,contact@club-nautique-croisette.fr
Riviera Lines,Cannes,croisieres@riviera-lines.com
Riviera Boat Club,Le Cannet,contact@rivieraboatclub.com
Aventure Pluriel,Cagnes-sur-Mer,contact@aventurepluriel.fr
Seasail,Saint-Laurent-du-Var,contact@seasail.fr
Bandol Meca Nautique,Bandol,contact@bandolmecanautique.fr
Bandol Sports Nautiques,Bandol,bsn83@orange.fr
Sanary Jet Ski,Sanary,info@sanary-jetski.fr
Sanaboat,Sanary-sur-Mer,contact@sanaboat.com
Sanary Location Bateau,Sanary,contact@sanary-location-bateau.fr
Bijou Boat,Six-Fours-les-Plages,lekrissy@wanadoo.fr
Le Brusc Marine,Le Brusc,contact@lebruscmarine.fr
Millesabords Nautic,Six-Fours-les-Plages,millesabords-nautic@orange.fr
Sea and Six,Six-Fours-les-Plages,seaandsix@gmail.com
Sea Adventure,Six-Fours-les-Plages,michael@sea-adventure.net
Eau Zone Location,La Seyne-sur-Mer,fred.eauzone@hotmail.fr
New Gliss Saint Cyr Jet Ski,Var,saintcyr.jet@gmail.com
Saint Cyr Marine,Saint-Cyr-sur-Mer,saintcyrmarine@gmail.com
Secure Boat,La Ciotat,contact@secureboat.fr
Sud Marine,La Ciotat,accueil@sudmarine.fr
Magic Boat,La Ciotat,contact@magicboat-laciotat.com
Matt Marine,Châteauneuf-les-Martigues,mathieu@mattmarine.fr
AMS Marine,Sausset-les-Pins,info@amsmarine.com
Bleu Calanque,Marseille,contact@bleucalanque.com
Locamer,Bandol,contact@locamer.pro
Ocean Skull,Six-Fours-les-Plages,oceanskull1@gmail.com
Audemar,Hyères,mer@audemar.com
Iceberg Jet,Hyères,info@iceberg-jet.com
Incentive Jet,Var,incentive83@gmail.com
Locamarine Watersports Aquatiko,Loctudy,locamarine@locamarine.fr
O2cean,Brest,simonxav@orange.fr
Brest Ocean Boat,Brest,contact@brest-ocean-boat.fr
Eridan Naviroise,Brest,contact@eridan-naviroise.com
Breizh Boat,Locmaria-Plouzané,breizh.boat@hotmail.com
CataVoile 29,Finistere,contact@catavoile29.fr
Espace Nature Sabatoux,Montusclat,contact@espacenaturesabatoux.fr
Centre Nautique de Crozon-Morgat,Crozon,info@cncm.fr
Voile Horizons,Douarnenez,contact@voilehorizons.com
Audierne Yachting,Audierne,contact@audierne-yachting.com
Meka Nautique,Locquirec,meka.nautique@gmail.com
Carantec Nautisme,Carantec,contact@carantec-nautisme.com
Carantec Nautic,Carantec,contact@carantec-nautic.fr
EWS Saint-Malo,Saint-Malo,ewssaintmalo@gmail.com
Sumalo,Saint-Malo,contact@sumalo.fr
Loc'Rance,Saint-Malo,location.poeti@gmail.com
Bateau Ecole de Saint-Malo,Saint-Malo,contact@bedsm.fr
Dinard Marine,Dinard,contact@dinardmarine.com
West Marine Dinard,Dinard,info@westmarine.fr
Fil Marine,Saint-Cast-le-Guildo,contact@fil-marine.com
Centre Nautique de Perros-Guirec,Perros-Guirec,centrenautique@perros-guirec.com
Ecole de Voile de Trebeurden,Trebeurden,contact@ecoledevoiletrebeurden.bzh
Armor Loisirs Nautiques,Binic-Étables-sur-Mer,alnautiques@gmail.com
Loc Voile Armor,Saint-Quay-Portrieux,contact@locvoilearmor.com
Krakenn Location,Saint-Quay-Portrieux,krakenn.location@gmail.com
Cras Nautique,Saint-Quay-Portrieux,contact@cras-nautique.fr
EnezTour,Binic,contact@eneztour.fr
Brehat Bateau,Paimpol,contact@brehatbateau.fr
Gourenez Nautic,Lézardrieux,contact@gourenez-nautic.com
Green Boat,Annecy,contact@greenboat-annecy.fr
Green Water Annecy,Annecy,direction@greenwaterannecy.com
Le Deck de Veyrier,Veyrier,contact@ledeck-veyrier.com
Bounty Annecy Location Bateaux,Annecy,info@bountylac.com
Eleman Boat Club,Yvoire,info@eleman.fr
Aqua Léman Nautique,Sciez,info@aqualemannautique.com
Le Doux Nid La Petite Évasion,Chanaz,le.doux.nid@gmail.com
MF Boat Lac du Bourget,Bourget,contact@mfboat-lacdubourget.com
Kahotep Aiguebelette,Aiguebelette,contact@kahotep.fr
Hameau des Pêcheurs,Novalaise,hameaudespecheurs@gmail.com
Baie Boat Serre Ponçon,Serre-Poncon,xavier.cousseau@wanadoo.fr
Lake Surfer,Saint-Vincent-les-Forts,info@lake-surfer.fr
CNA Embrun Serre-Ponçon,Serre-Poncon,cnasp@wanadoo.fr
Surf Center Sainte-Croix,Sainte-Croix,damien@surfcenter.fr
Verdon Electronautic,Quinson,verdonelectronautic@gmail.com
Alizé Electronic,Esparron-de-Verdon,contact@location.alize-electronic.fr
Biké Beach,Saint-André-les-Alpes,ines.bikebeach@gmail.com
Emeraude Nautic Vouglans,Vouglans,emeraudenautic@gmail.com
Magic Nautic Vouglans,Vouglans,magicnautic@gmail.com
Elek Trop Choc Vassivière,Vassiviere,contact@elek-trop-choc-location.fr
Pasielsky Bateaux Pareloup,Pareloup,pasielski@wanadoo.fr
Besset Bateaux Pareloup,Pareloup,besset.fils@wanadoo.fr
Aveyron Location Bateaux Pareloup,Pareloup,aveyronlocationbateaux@gmail.com
Centre Nautique Lac de Madine,Madine,centrenautique@lacmadine.com
FunCenter Lac du Der,Lac du Der,contactfuncenter@gmail.com
Au Fil de l'Eau Lac du Der,Lac du Der,aufildeleau51@gmail.com
Sanguinet Marine,Sanguinet,contact@sanguinetmarine.com
Alpha Marine,Sète,alpha_marine@orange.fr
Jet Rando 34,Herault,espacelocation@yahoo.fr
Jet Evasion 34,Herault,jetevasion.valras@gmail.com
Espace Bateau,Le Grau-d'Agde,spaceboat@gmail.com
Evasion de Thau,Bouzigues,reservation@evasion-thau.fr
Yachting Navigation,Saint-Cyprien,yachting.navigation@gmail.com
Blue Pearl,Marseillan,locationbateaux@yahoo.fr
Nautica Vermeille,Port-Vendres,contact@nauticavermeille.com
St Cyp Jet Evasion,Saint-Cyprien,contact@stcypjetevasion.fr
Jet Roi,Le Grau-du-Roi,contact@jet-roi.com
Jet Ski Giulia,Le Grau-du-Roi,jetski.giulia@gmail.com
Barcajets,Ares,barcajets@gmail.com
Passion Yachting,Gruissan,francis@passion-yachting.com
Navisud,Argeles,navisud_66@yahoo.fr
Jet-Surf Barcarès,Ares,jetsurfbarcares@gmail.com
Nauti Parc,Herault,nautiparc34@hotmail.fr
Aqua Turtle,Herault,aqua34turtle@gmail.com
Sun Jets 66,Pyrenees-Orientales,sunjets66@gmail.com
Cap Caraïbes Loisirs,Sète,info@capcaraibes-loisirs.com
66Nautic,Pyrenees-Orientales,postmaster@66nautic.fr
Locarama,Le Barcarès,contact@locarama.fr
Escale Sétoise,Sète,contact@escalesetoise.com
Centre Nautique du Cap d'Agde,Cap d'Agde,contact@centrenautique-capdagde.com
Flamingo Boats,Herault,flamingo.boats34@gmail.com
Fly66,Pyrenees-Orientales,contact@fly66.fr
Aloha Jet,Leucate,contact@aloha-jet.fr
Leucate Jet Ski,Leucate,ljsbooking@gmail.com
NO By The Sea,Noirmoutier-en-l'Île,embarquez@nobythesea.com
FullJet,L'Épine,contact@fulljet.fr
Glisse Events,Noirmoutier,glisseevents@gmail.com
Atlantic Loisirs Oléron,Oleron,contact@atlanticlo.fr
Planète Nautic,Saint-Georges-d'Oléron,contact@planete-nautic.fr
Espace Nautique,Saint-Georges-d'Oléron,contact@espacenautique.fr
Antioche Nautisme,Saint-Denis-d'Oléron,antiochenautisme@gmail.com
Oleron Croisières,Oleron,info@oleron-croisieres.fr
Le Loup des Mers,Châtelaillon-Plage,contact@leloupdesmers.fr
Chatelaillon Jet Club,Chatelaillon,chatelaillonjetclub@gmail.com
Jet Marine,Marennes,contact@jet-marine.fr
Jet Alizé,Les Mathes,contact@jetalize.fr
